## reporting unit PofZ values from gsi_sim.  NumBurnIn= 50000  NumSweeps= 999  NumValuesInAverage= 998
IndivName	ValueType	Norton	Upper_Yukon	Middle_Yukon	Lower_Yukon	Bristol_Bay_Kusk
KANDR03_36	Posterior.Mean	0.00509065	0.00000000	0.00000000	0.96327499	0.03163436
KANDR03_36	SD	0.00095119	0.00000000	0.00000000	0.00593939	0.00547017
KANDR03_37	Posterior.Mean	0.00001879	0.00000000	0.00075214	0.97197885	0.02725022
KANDR03_37	SD	0.00000315	0.00000000	0.00012129	0.00395363	0.00387708
KANDR03_38	Posterior.Mean	0.00040612	0.00000000	0.00000008	0.81302471	0.18656909
KANDR03_38	SD	0.00005662	0.00000000	0.00000001	0.01895332	0.01892407
KANDR03_39	Posterior.Mean	0.00001112	0.00000000	0.00000000	0.98482566	0.01516322
KANDR03_39	SD	0.00000181	0.00000000	0.00000000	0.00218567	0.00218453
KANDR03_40	Posterior.Mean	0.00192666	0.00000000	0.00000000	0.94614688	0.05192646
KANDR03_40	SD	0.00035175	0.00000000	0.00000000	0.00803260	0.00788106
KANDR03_41	Posterior.Mean	0.42903990	0.00000000	0.00000000	0.54288045	0.02807964
KANDR03_41	SD	0.04553596	0.00000000	0.00000000	0.04545929	0.00302168
KANDR03_42	Posterior.Mean	0.00060167	0.00000000	0.00000000	0.96633641	0.03306191
KANDR03_42	SD	0.00010578	0.00000000	0.00000000	0.00377616	0.00373927
KANDR03_43	Posterior.Mean	0.11309652	0.00000000	0.00000000	0.85676250	0.03014098
KANDR03_43	SD	0.01962850	0.00000000	0.00000000	0.02136580	0.00373258
KANDR03_44	Posterior.Mean	0.00003444	0.00000000	0.00000000	0.98717373	0.01279183
KANDR03_44	SD	0.00000651	0.00000000	0.00000000	0.00176925	0.00176566
KANDR03_45	Posterior.Mean	0.00002769	0.00000000	0.00000000	0.93425745	0.06571486
KANDR03_45	SD	0.00000491	0.00000000	0.00000000	0.00894827	0.00894570
KANDR03_46	Posterior.Mean	0.00000900	0.00000000	0.00000000	0.96256489	0.03742612
KANDR03_46	SD	0.00000126	0.00000000	0.00000000	0.00471292	0.00471220
KANDR03_47	Posterior.Mean	0.25899904	0.00000000	0.00000000	0.71783656	0.02316440
KANDR03_47	SD	0.03589184	0.00000000	0.00000000	0.03663277	0.00264207
KANDR03_48	Posterior.Mean	0.00006102	0.00000000	0.00000000	0.70669237	0.29324661
KANDR03_48	SD	0.00001028	0.00000000	0.00000000	0.03559281	0.03559059
KANDR03_49	Posterior.Mean	0.00005022	0.00000000	0.00000000	0.98986192	0.01008786
KANDR03_49	SD	0.00000859	0.00000000	0.00000000	0.00140392	0.00139858
KANDR03_50	Posterior.Mean	0.00314121	0.00000000	0.00000000	0.67149885	0.32535994
KANDR03_50	SD	0.00044022	0.00000000	0.00000000	0.02902590	0.02891520
KANDR03_51	Posterior.Mean	0.00004457	0.00000000	0.00000000	0.45391421	0.54604122
KANDR03_51	SD	0.00000785	0.00000000	0.00000000	0.04169391	0.04169410
KANDR03_52	Posterior.Mean	0.00771445	0.00000000	0.00000000	0.61033624	0.38194931
KANDR03_52	SD	0.00120435	0.00000000	0.00000000	0.03215689	0.03176272
KANDR03_53	Posterior.Mean	0.00015633	0.00000000	0.00000000	0.58080271	0.41904096
KANDR03_53	SD	0.00002093	0.00000000	0.00000000	0.03481184	0.03480489
KANDR03_54	Posterior.Mean	0.00019849	0.00000000	0.00000000	0.99701348	0.00278802
KANDR03_54	SD	0.00003946	0.00000000	0.00000000	0.00042950	0.00040727
KANDR03_55	Posterior.Mean	0.00011522	0.00000000	0.00000000	0.99389446	0.00599033
KANDR03_55	SD	0.00002204	0.00000000	0.00000000	0.00084758	0.00083450
KANDR03_56	Posterior.Mean	0.00000475	0.00000000	0.00000000	0.07830371	0.92169154
KANDR03_56	SD	0.00000075	0.00000000	0.00000000	0.00802154	0.00802175
KANDR03_57	Posterior.Mean	0.00000722	0.00000000	0.00000001	0.99470137	0.00529140
KANDR03_57	SD	0.00000135	0.00000000	0.00000000	0.00075593	0.00075524
KANDR03_58	Posterior.Mean	0.00150350	0.00000000	0.00000000	0.59928955	0.39920694
KANDR03_58	SD	0.00021557	0.00000000	0.00000000	0.03290060	0.03282724
KANDR03_59	Posterior.Mean	0.00008756	0.00000000	0.00000000	0.99925317	0.00065927
KANDR03_59	SD	0.00001643	0.00000000	0.00000000	0.00011772	0.00010917
KANDR03_60	Posterior.Mean	0.67554684	0.00000000	0.00000000	0.12274327	0.20170989
KANDR03_60	SD	0.03466078	0.00000000	0.00000000	0.01712771	0.02269009
KANDR03_61	Posterior.Mean	0.00003257	0.00000000	0.00000000	0.99892050	0.00104693
KANDR03_61	SD	0.00000639	0.00000000	0.00000000	0.00014772	0.00014406
KANDR03_62	Posterior.Mean	0.00000203	0.00000000	0.00000000	0.98833521	0.01166276
KANDR03_62	SD	0.00000036	0.00000000	0.00000000	0.00172318	0.00172300
KANDR03_63	Posterior.Mean	0.00000042	0.00000000	0.00000000	0.99885765	0.00114192
KANDR03_63	SD	0.00000008	0.00000000	0.00000000	0.00013820	0.00013816
KANDR03_64	Posterior.Mean	0.00000506	0.00000000	0.00000000	0.99625992	0.00373502
KANDR03_64	SD	0.00000087	0.00000000	0.00000000	0.00048627	0.00048586
KANDR03_65	Posterior.Mean	0.00151521	0.00000000	0.00000000	0.58412577	0.41435902
KANDR03_65	SD	0.00023620	0.00000000	0.00000000	0.03566682	0.03560525
KANDR03_66	Posterior.Mean	0.00018600	0.00000000	0.00000000	0.92135684	0.07845717
KANDR03_66	SD	0.00003279	0.00000000	0.00000000	0.01075138	0.01073502
KANDR03_67	Posterior.Mean	0.00037976	0.00000000	0.00000000	0.27992908	0.71969115
