## trace file of reporting unit ZSum values from gsi_sim.  NumBurnIn= 50000  NumSweeps= 999 ThinningInterval= 20
SweepNumber	Norton	Upper_Yukon	Middle_Yukon	Lower_Yukon	Bristol_Bay_Kusk
4480	248	74	270	241	1442
4500	247	74	270	240	1444
4520	243	74	272	242	1444
4540	250	74	271	231	1449
4560	241	74	272	239	1449
4580	254	74	271	248	1428
4600	252	74	271	238	1440
4620	249	74	271	242	1439
4640	247	74	270	228	1456
4660	250	74	271	248	1432
4680	249	74	272	237	1443
4700	249	74	271	241	1440
4720	269	74	270	221	1441
4740	246	74	271	247	1437
4760	237	74	272	249	1443
4780	249	74	270	228	1454
4800	256	74	271	225	1449
4820	257	74	270	240	1434
4840	243	74	271	243	1444
4860	248	74	271	240	1442
4880	243	74	272	234	1452
4900	242	74	271	242	1446
4920	254	74	270	241	1436
4940	249	74	271	240	1441
4960	253	74	270	231	1447
4980	258	74	271	244	1428
5000	249	74	271	241	1440
5020	259	74	272	237	1433
5040	254	74	271	240	1436
5060	253	74	270	250	1428
5080	253	74	270	235	1443
5100	250	74	271	238	1442
5120	252	74	271	246	1432
5140	250	74	272	237	1442
5160	259	74	270	239	1433
5180	250	74	271	229	1451
5200	255	74	270	235	1441
5220	260	74	272	257	1412
5240	258	74	271	248	1424
5260	258	74	270	229	1444
5280	259	74	270	231	1441
5300	247	74	271	223	1460
5320	253	74	271	226	1451
5340	249	74	271	238	1443
5360	245	74	271	246	1439
5380	248	74	271	240	1442
5400	253	74	271	252	1425
5420	258	74	271	235	1437
5440	264	74	271	228	1438
5460	247	74	271	245	1438
5480	256	74	271	234	1440
5500	246	74	271	234	1450
5520	249	74	271	241	1440
5540	253	74	271	247	1430
5560	256	74	272	251	1422
5580	253	74	272	245	1431
5600	249	74	270	249	1433
5620	259	74	272	228	1442
5640	264	74	272	234	1431
5660	248	74	272	236	1445
5680	252	74	271	225	1453
5700	258	74	270	246	1427
5720	252	74	271	249	1429
5740	255	74	270	228	1448
5760	244	74	272	238	1447
5780	257	74	270	225	1449
5800	247	74	271	238	1445
5820	241	74	271	250	1439
5840	241	74	270	256	1434
5860	249	74	270	241	1441
5880	256	74	270	255	1420
5900	255	74	272	242	1432
5920	257	74	271	240	1433
5940	261	74	271	235	1434
5960	247	74	271	246	1437
5980	262	74	270	232	1437
6000	251	74	270	234	1446
6020	255	74	271	246	1429
6040	256	74	271	242	1432
6060	253	74	271	235	1442
6080	266	74	272	230	1433
6100	254	74	271	245	1431
6120	262	74	271	230	1438
6140	249	74	270	240	1442
6160	256	74	271	234	1440
6180	258	73	270	248	1426
6200	247	74	270	247	1437
6220	250	74	272	246	1433
6240	252	74	271	245	1433
6260	242	74	271	224	1464
6280	245	74	271	222	1463
6300	254	74	271	235	1441
6320	254	74	272	249	1426
6340	257	74	271	245	1428
6360	257	74	271	237	1436
6380	256	74	272	240	1433
6400	248	74	271	243	1439
6420	252	74	271	246	1432
6440	248	74	271	242	1440
6460	243	74	271	252	1435
6480	251	74	272	219	1459
6500	253	74	272	224	1452
6520	257	74	271	227	1446
6540	244	74	271	249	1437
6560	252	74	271	241	1437
6580	255	74	270	238	1438
6600	260	74	270	236	1435
6620	252	74	270	227	1452
6640	246	74	271	246	1438
6660	258	74	271	227	1445
6680	244	74	271	222	1464
6700	250	74	272	221	1458
6720	258	74	270	243	1430
6740	248	74	270	228	1455
6760	240	74	270	242	1449
6780	258	74	272	232	1439
6800	251	74	271	233	1446
6820	252	74	271	236	1442
6840	249	74	270	235	1447
6860	253	74	270	227	1451
6880	254	74	271	248	1428
6900	247	74	271	241	1442
6920	246	74	270	244	1441
6940	261	74	272	228	1440
6960	249	74	270	237	1445
6980	250	74	271	248	1432
7000	250	74	271	236	1444
7020	246	74	272	226	1457
7040	259	74	271	263	1408
7060	241	74	270	236	1454
7080	257	74	272	237	1435
7100	253	74	271	241	1436
7120	260	74	271	247	1423
7140	252	74	270	249	1430
7160	250	74	271	228	1452
7180	244	74	270	252	1435
7200	252	74	271	248	1430
7220	250	74	271	217	1463
7240	251	74	273	249	1428
7260	251	74	272	247	1431
