## trace file of population Pi values from gsi_sim.  NumBurnIn= 50000  NumSweeps= 20000 ThinningInterval= 20
SweepNumber	KANDR03	KANVI07	KAROL05	KBIGCK04	KBIGS07	KEEK05	KGAGA06	KGEOR05	KGISA01	KGOLS06	KGONF06	KHENS01	KIOW10	KKANE05	KKANT05	KKISA05	KKLUTU09	KKOGR05	KKOGR07	KKOKT10	KNECO07	KNORTH10	KPILG0506	KSALC05	KSALM06	KSTUY09	KTOGRT09	KTUBU09
21380	0.04539736	0.02435760	0.03466694	0.02194793	0.03071899	0.03748350	0.03951129	0.03273779	0.03955632	0.02226316	0.03888963	0.03708581	0.02331603	0.03418291	0.04214645	0.03936035	0.05197593	0.01983822	0.04276820	0.03353916	0.04893401	0.02493345	0.02442189	0.03846121	0.04838114	0.02935136	0.05715085	0.03662252
21400	0.04406528	0.01987318	0.02719667	0.02687405	0.03881807	0.02966525	0.04156176	0.03479900	0.04243666	0.02408759	0.04701644	0.04428957	0.01912900	0.04556015	0.03445371	0.02904993	0.04663225	0.01476303	0.04265299	0.04128376	0.05457161	0.02712292	0.02348077	0.04127529	0.04098151	0.04342234	0.04047246	0.03446478
21420	0.04255103	0.01842964	0.03510423	0.02550392	0.03269821	0.02954906	0.04347546	0.04687478	0.04069667	0.02343994	0.03713552	0.03085588	0.02553937	0.03989270	0.04026084	0.04264313	0.04165264	0.02555710	0.04037346	0.04894555	0.05441193	0.02319352	0.02304037	0.03979142	0.03433142	0.02954222	0.04968236	0.03482762
21440	0.04559356	0.01601855	0.02050971	0.03336199	0.03678168	0.04302936	0.04537192	0.04136765	0.03226762	0.02100569	0.03267471	0.03685182	0.02554159	0.05055369	0.04041519	0.03150761	0.04318704	0.01431304	0.03700051	0.05030483	0.04975518	0.02300218	0.02794089	0.03613027	0.03810078	0.05026732	0.04167730	0.03546833
21460	0.04113558	0.02412756	0.02969951	0.02273865	0.03462426	0.04135191	0.03220742	0.04140100	0.04613142	0.02648113	0.04048446	0.03927509	0.01940455	0.04472846	0.04670403	0.02992813	0.04380558	0.01852212	0.04021806	0.03133171	0.04884064	0.03011815	0.02289335	0.04294193	0.03352281	0.04645901	0.04092254	0.04000095
21480	0.04338284	0.01505925	0.02520084	0.03082422	0.02915849	0.04337225	0.03954467	0.04821733	0.04744425	0.02312092	0.04062787	0.03417323	0.02335530	0.05402401	0.04035547	0.02510705	0.04130092	0.02429413	0.03835131	0.04569876	0.04826134	0.02775225	0.02466786	0.04202992	0.04616101	0.02674608	0.03841951	0.03334893
21500	0.04012228	0.01938343	0.02250177	0.03404399	0.03162355	0.03623547	0.03914765	0.03701427	0.03779991	0.02461817	0.03364998	0.04896463	0.02698371	0.04231702	0.03162773	0.03200607	0.05152247	0.01956758	0.04508470	0.04390308	0.04410138	0.02074315	0.02677450	0.04299145	0.03253215	0.04547118	0.05593857	0.03333017
21520	0.04847575	0.01764893	0.02121260	0.03409119	0.03237857	0.04392457	0.04224057	0.04034917	0.04117317	0.02446475	0.03304843	0.03431425	0.02307699	0.03184192	0.03698126	0.03006869	0.04428206	0.02109510	0.04347403	0.03593600	0.04920343	0.02659953	0.02053614	0.03785946	0.04647500	0.03672550	0.06470734	0.03781560
21540	0.04799538	0.02344925	0.02478509	0.02018340	0.03242332	0.03269253	0.03678617	0.03455639	0.03772139	0.02298863	0.03847506	0.03708059	0.02526974	0.04755821	0.04223363	0.03897917	0.04444618	0.02449541	0.04083708	0.03762072	0.05102305	0.02688922	0.02677543	0.03739539	0.03786435	0.04143601	0.04880330	0.03923590
21560	0.03753331	0.02030898	0.02609817	0.03212360	0.03223487	0.04308099	0.04392234	0.03428702	0.03377112	0.02918537	0.04001758	0.04357286	0.02127014	0.03681665	0.03117286	0.04114730	0.05554093	0.01694242	0.05480287	0.04457833	0.04397513	0.02537176	0.02414979	0.04148794	0.03121032	0.03813848	0.04099597	0.03626291
21580	0.03388808	0.01824636	0.01951360	0.01963950	0.03229881	0.04620467	0.04254988	0.04820025	0.05300501	0.02428013	0.03401831	0.03777558	0.02813904	0.04133812	0.04034870	0.03453078	0.03507740	0.02264647	0.04766798	0.03531251	0.04608098	0.02084590	0.03355131	0.04068901	0.04039619	0.03940052	0.04945599	0.03489894
21600	0.04542301	0.01957029	0.02743604	0.02913296	0.03605755	0.04659724	0.04571081	0.04307140	0.03634228	0.02486335	0.04369857	0.03818467	0.01810291	0.04829257	0.05130676	0.03554678	0.04323709	0.01823711	0.03444790	0.04032818	0.05320315	0.02157375	0.01668607	0.04092510	0.03176837	0.04289785	0.03410439	0.03325384
21620	0.04667821	0.02181542	0.02077225	0.03337886	0.02964935	0.03377434	0.03286359	0.03885379	0.04192635	0.02282276	0.04280939	0.03469165	0.02292396	0.04055196	0.04024756	0.03997908	0.04472578	0.02380411	0.04387368	0.04515718	0.03959021	0.02824165	0.02776723	0.03736086	0.04168542	0.04027051	0.04773423	0.03605064
21640	0.03691322	0.01892426	0.02589250	0.02991545	0.03839656	0.04130283	0.03142654	0.03578083	0.04091871	0.02590929	0.04146958	0.03618016	0.02223997	0.04188435	0.04163909	0.03602590	0.04634187	0.01565037	0.04776598	0.03953195	0.04619254	0.03158244	0.02380751	0.03718911	0.04323463	0.03984172	0.04821948	0.03582316
21660	0.04045884	0.02366137	0.03118446	0.03365246	0.03479144	0.02548743	0.03842430	0.05021416	0.03511278	0.02489787	0.03157320	0.03997398	0.02548639	0.03919216	0.04082390	0.04071059	0.04256457	0.02403100	0.04962984	0.03434268	0.04244804	0.02930752	0.02354575	0.03868373	0.03915467	0.02834012	0.05335443	0.03895233
21680	0.03346372	0.02288249	0.02182404	0.02481550	0.03278107	0.02846331	0.04860147	0.05286792	0.03882467	0.03115206	0.03476177	0.03800554	0.01917904	0.04022942	0.03689949	0.03966657	0.04431596	0.01611751	0.04979645	0.03781513	0.05068998	0.02635397	0.02447554	0.03813399	0.03797744	0.03765029	0.05508469	0.03717096
21700	0.04101392	0.01533523	0.01926929	0.03166687	0.03121829	0.02778698	0.05224330	0.03200619	0.03736265	0.02627408	0.04087827	0.04365803	0.01851414	0.04553339	0.03430279	0.04210812	0.04390757	0.02111990	0.03746855	0.04828664	0.05195849	0.02945174	0.02242013	0.04402342	0.04180470	0.03805851	0.04903379	0.03329501
21720	0.04143209	0.02147172	0.02945144	0.03149284	0.03098046	0.04194157	0.03813434	0.04780811	0.04776762	0.02903038	0.03881725	0.03698460	0.02140562	0.04048525	0.03978321	0.04018249	0.03762551	0.01542035	0.02915502	0.04484789	0.04035418	0.02592202	0.02052061	0.03992322	0.04596085	0.04307467	0.04787985	0.03214687
21740	0.04156780	0.01962853	0.02099465	0.02551834	0.03397556	0.03260505	0.04043421	0.03248014	0.03132370	0.02803601	0.03338503	0.04149325	0.02108856	0.04608908	0.04466190	0.04853271	0.04399923	0.01440285	0.04839484	0.04230213	0.05077820	0.03006092	0.01822011	0.03959889	0.04047865	0.03920416	0.05584551	0.03490001
21760	0.03787863	0.02099867	0.02745267	0.03112894	0.03831171	0.03189875	0.03694081	0.03579825	0.04552629	0.02683432	0.03480645	0.03865973	0.02674927	0.03946309	0.03485245	0.04188427	0.04861103	0.01217382	0.04536673	0.03312990	0.05837918	0.03125468	0.02452354	0.03997390	0.04145171	0.03935397	0.04249132	0.03410592
21780	0.04302757	0.02550802	0.02869231	0.03334680	0.03172747	0.03074960	0.04200251	0.04473225	0.04376920	0.02498674	0.03183730	0.03726266	0.02119846	0.04839689	0.04499711	0.04373237	0.03242285	0.01797356	0.03916563	0.04330154	0.05355384	0.02184513	0.02215970	0.03180561	0.03855686	0.03066272	0.05883322	0.03375208
21800	0.04205272	0.02188974	0.02370752	0.02809426	0.03067006	0.03198811	0.04650866	0.04065199	0.04947374	0.02372808	0.04189688	0.03793723	0.01736582	0.04670451	0.04160942	0.04247266	0.04173492	0.01597686	0.03639598	0.04264006	0.05097040	0.02402001	0.02697899	0.03981941	0.04568848	0.02280270	0.05427438	0.03194641
21820	0.05018367	0.02267523	0.02993171	0.02243081	0.02798318	0.04505308	0.05790625	0.03657383	0.03504422	0.02711144	0.02859612	0.03525772	0.01892385	0.04004742	0.04061944	0.04121692	0.03878800	0.02174511	0.04118117	0.04132471	0.04297399	0.02441010	0.02488058	0.03933142	0.04754803	0.03350867	0.04852034	0.03623301
21840	0.03990609	0.02019306	0.03120415	0.02890318	0.03040926	0.03139409	0.03956495	0.03535111	0.03999694	0.02520728	0.03496703	0.04536931	0.03004979	0.03141751	0.03733771	0.05733727	0.04711334	0.02649911	0.04099453	0.03567968	0.04040918	0.02279570	0.01826577	0.04164891	0.05353179	0.02509072	0.05229350	0.03706905
21860	0.04699537	0.01901085	0.02893476	0.02767448	0.03199453	0.03869228	0.04157324	0.03306251	0.03926469	0.02205658	0.03117846	0.03871644	0.03173118	0.03011560	0.04501161	0.03722809	0.05738164	0.03042259	0.03706165	0.03718119	0.04542452	0.02220864	0.02426605	0.04079309	0.04315600	0.04134047	0.04880002	0.02872348
21880	0.04025817	0.02522832	0.02460884	0.02443243	0.03337571	0.03142362	0.03221381	0.04192331	0.04218301	0.02769725	0.04246855	0.03751354	0.02193078	0.03427849	0.03597641	0.03603933	0.04242777	0.02320598	0.04632280	0.04246875	0.05255393	0.02701996	0.02325003	0.03875154	0.04775121	0.04588891	0.04427292	0.03453461
21900	0.04534311	0.02724753	0.03035143	0.02132268	0.03698866	0.02636046	0.03167487	0.03488574	0.05088999	0.02534297	0.03739306	0.03438317	0.03171907	0.04825863	0.03991527	0.03509399	0.04321283	0.02293067	0.03843334	0.05369734	0.05042470	0.02237628	0.02784084	0.03708042	0.03726254	0.03511867	0.04269598	0.03175576
21920	0.04575578	0.02043114	0.01920140	0.02888382	0.03583907	0.04117589	0.03682038	0.03545528	0.03771021	0.03036009	0.03053636	0.03948433	0.02970132	0.05570945	0.04023341	0.03107845	0.03611526	0.02082375	0.03870826	0.04824456	0.04151234	0.02579747	0.02273464	0.04154685	0.04462648	0.03960009	0.04702032	0.03489359
21940	0.05419553	0.02176399	0.02665367	0.03398594	0.02886805	0.02987890	0.04859081	0.03784373	0.03481086	0.02492254	0.03110294	0.03538170	0.02056761	0.04566385	0.04395104	0.04203477	0.04509591	0.01171380	0.05341609	0.03815270	0.05291228	0.02437139	0.02400646	0.03842163	0.03607109	0.04635274	0.03548784	0.03378214
21960	0.04163522	0.02809133	0.02406365	0.01814120	0.03053366	0.04219007	0.03380545	0.02808682	0.04949905	0.03225073	0.04037268	0.04356462	0.02408352	0.03857190	0.03849831	0.04163270	0.05777707	0.02490771	0.03096287	0.03703087	0.04776981	0.02845029	0.01856059	0.03643174	0.04136215	0.04061952	0.04905509	0.03205137
21980	0.04803840	0.02332337	0.03102216	0.02330935	0.03569170	0.04236086	0.05743158	0.04356067	0.05227329	0.02428901	0.02758398	0.03094659	0.01936900	0.02960708	0.03378120	0.03443984	0.04591709	0.01521347	0.04265833	0.04385640	0.04305982	0.02956923	0.02012060	0.03930929	0.03796331	0.03730677	0.05205623	0.03594138
22000	0.04158123	0.01497729	0.02489822	0.02688832	0.03568286	0.04301928	0.03809750	0.05521179	0.03792237	0.02771326	0.03978526	0.03949481	0.01831805	0.04506118	0.03672785	0.04484139	0.04414171	0.00856828	0.03683819	0.04746959	0.03282605	0.02556767	0.02509335	0.04875896	0.04048603	0.03892705	0.04724519	0.03385725
22020	0.04852329	0.01472436	0.02460879	0.02396569	0.04014148	0.03263831	0.04920822	0.05048965	0.03554325	0.02566222	0.04710208	0.04015399	0.02145384	0.04818812	0.03904213	0.02580112	0.03670481	0.01594004	0.05060237	0.03881142	0.03987895	0.02330694	0.01997188	0.04150069	0.03018681	0.05417841	0.04835729	0.03331383
22040	0.04973017	0.01792761	0.01911439	0.02860376	0.03173226	0.03495359	0.03856262	0.03826232	0.03821011	0.02992848	0.03440583	0.03848757	0.02794159	0.05000589	0.03721028	0.04137971	0.04929313	0.02046390	0.04560047	0.03773088	0.04577880	0.02140506	0.02744039	0.03623410	0.03553981	0.03589656	0.05530468	0.03285606
22060	0.03844131	0.01736686	0.02387127	0.03499292	0.03619351	0.03518629	0.04153874	0.04648098	0.03766157	0.02424411	0.04013010	0.03801492	0.01802772	0.04876416	0.03804177	0.03414631	0.03900087	0.02270743	0.04878256	0.03322276	0.04952202	0.02760230	0.02415051	0.04134885	0.04945524	0.02419338	0.05056590	0.03634562
22080	0.04562079	0.02570715	0.02346699	0.01885345	0.03348939	0.04420166	0.03698368	0.04173064	0.04303328	0.02072483	0.03325525	0.03949403	0.02479836	0.04190285	0.03250766	0.03469467	0.04007024	0.02170092	0.04712244	0.03448211	0.04730900	0.02486003	0.02531706	0.04982124	0.03487237	0.04251462	0.05423095	0.03723434
22100	0.03818149	0.01122970	0.03550565	0.02265672	0.03142404	0.02823887	0.04417849	0.03238379	0.03247099	0.02460934	0.02978290	0.03669693	0.03506124	0.04099023	0.03932104	0.04097202	0.04267250	0.01513502	0.05432885	0.04877581	0.04894806	0.02075002	0.02174445	0.05222060	0.03946349	0.03338226	0.06176331	0.03711219
22120	0.05050962	0.02176467	0.02039256	0.03053886	0.02952942	0.03130502	0.05048506	0.03810719	0.04269633	0.02339943	0.04409388	0.04635735	0.02181885	0.03378510	0.04266581	0.03789483	0.03882464	0.01662718	0.03984333	0.04370072	0.04084805	0.02416656	0.02355397	0.03458539	0.04515783	0.04267024	0.04515069	0.03952745
22140	0.03955678	0.01535964	0.02455307	0.02055710	0.03301337	0.04193634	0.04480296	0.03859329	0.03940023	0.02525326	0.03659836	0.03859053	0.01748012	0.04406164	0.03999060	0.04328636	0.03795357	0.01276243	0.04631631	0.05443470	0.04530623	0.03151936	0.02601752	0.03874980	0.04947000	0.02632171	0.05059261	0.03752212
22160	0.04907132	0.02302402	0.02389166	0.03183175	0.02655482	0.03491233	0.05526095	0.02917283	0.04039598	0.02290766	0.04170735	0.03781038	0.02902230	0.04906507	0.03679113	0.03612367	0.03908207	0.02782138	0.05031560	0.03950204	0.04016686	0.02086615	0.01914135	0.03545440	0.03837879	0.03317852	0.05061704	0.03793262
22180	0.04812003	0.02119139	0.02517714	0.02622772	0.03328644	0.03431720	0.04674098	0.03107243	0.03616697	0.02816998	0.03906657	0.03645580	0.03341267	0.04976713	0.03214441	0.04014639	0.03566222	0.01647275	0.04438163	0.04431969	0.05276681	0.02715503	0.02081008	0.04553931	0.03496628	0.02691849	0.04601211	0.04353236
22200	0.04399523	0.01763388	0.02231741	0.02536963	0.03731006	0.04373809	0.03665860	0.04533262	0.04278288	0.02266611	0.03243389	0.04286195	0.02538289	0.03368682	0.04320493	0.03431705	0.03618741	0.02237439	0.04901296	0.03548346	0.03771062	0.02013678	0.02356992	0.04464594	0.05258625	0.04086855	0.05287179	0.03485991
22220	0.04252485	0.02451326	0.02127766	0.02079809	0.03068729	0.02917664	0.04186383	0.04513429	0.03386809	0.02988205	0.03057723	0.03688815	0.02238720	0.04978073	0.03929486	0.04159848	0.04665904	0.02082534	0.03881433	0.04858454	0.04636426	0.02784365	0.01858552	0.03422508	0.04697307	0.03867443	0.04649205	0.04570602
22240	0.04518039	0.01657066	0.03117318	0.03658676	0.03125047	0.01717189	0.03980325	0.03472927	0.04324258	0.02027290	0.04111611	0.04431317	0.02388698	0.04132673	0.04198731	0.03764550	0.04089282	0.01630253	0.05834898	0.03357967	0.04460703	0.02268277	0.02688176	0.03655957	0.04312569	0.04511974	0.04498254	0.04065976
22260	0.03440034	0.02515647	0.03165619	0.02437034	0.03341991	0.03179601	0.04261157	0.03490803	0.03760136	0.02711854	0.05218796	0.04052970	0.02190727	0.05362977	0.03473016	0.02995083	0.04285651	0.02563890	0.04534345	0.03640039	0.04323533	0.02346080	0.02439361	0.03967501	0.04846036	0.03579993	0.04189275	0.03686853
22280	0.04005146	0.01968839	0.02089737	0.01673965	0.03274292	0.03400684	0.04272819	0.03134334	0.04336503	0.02518693	0.03769700	0.03553307	0.01860644	0.04321151	0.04818243	0.04370045	0.03799279	0.02865754	0.04853277	0.05301831	0.05169048	0.02125497	0.02532010	0.04229901	0.03271927	0.03608300	0.05498845	0.03376227
22300	0.03266156	0.02105072	0.02801353	0.03106217	0.02873163	0.03150804	0.04950237	0.03913603	0.03434888	0.02971400	0.03702213	0.03379595	0.03012014	0.04880827	0.04313082	0.03194920	0.04845851	0.01994489	0.04634019	0.04121825	0.04073844	0.02809538	0.02265408	0.04612125	0.03960496	0.03923428	0.04426641	0.03276792
22320	0.05012775	0.02301511	0.02293602	0.02085157	0.02942183	0.02913102	0.04937673	0.03201547	0.04170287	0.03161002	0.04448625	0.03223292	0.02266163	0.04959468	0.03322340	0.05038603	0.03671281	0.02348903	0.04270852	0.04001486	0.05173863	0.02699050	0.02073744	0.03869840	0.02920098	0.03752736	0.05064366	0.03876450
22340	0.04189570	0.01874771	0.02961429	0.03013066	0.03256298	0.02753097	0.05640039	0.02936329	0.04498149	0.02851801	0.04061325	0.04358727	0.01971867	0.03999867	0.04586057	0.04245180	0.04629209	0.02838763	0.04127057	0.04211426	0.03910452	0.02220665	0.01570267	0.03249751	0.04494378	0.03250716	0.04781960	0.03517782
22360	0.05010591	0.01998883	0.02633570	0.03243134	0.03734236	0.02780595	0.03931174	0.04006023	0.05055640	0.02800210	0.02615951	0.03295421	0.02346499	0.03529265	0.03930595	0.05141577	0.04086713	0.01650837	0.04563886	0.04289145	0.04220407	0.02343206	0.02273898	0.03911156	0.04142811	0.02983981	0.05922436	0.03558158
22380	0.04522951	0.02324401	0.02473975	0.03492655	0.03189583	0.03890355	0.02903217	0.02937778	0.04335981	0.02413501	0.03890267	0.04634370	0.02491158	0.05900066	0.03714800	0.03189666	0.03816531	0.01186600	0.04430485	0.04671867	0.05404027	0.02335255	0.01990486	0.04440980	0.04184389	0.04138597	0.03913577	0.03182481
22400	0.03872881	0.01943297	0.02235753	0.02160958	0.03824022	0.03356708	0.06098422	0.03809810	0.04636584	0.02507363	0.03747858	0.04125070	0.01344183	0.03469157	0.04279106	0.03592661	0.04683115	0.02903370	0.04287828	0.04250977	0.04042582	0.02536553	0.02226932	0.03852902	0.04349564	0.03658330	0.04267105	0.03936909
22420	0.04591756	0.02669042	0.02149430	0.02909291	0.02981498	0.03169065	0.04331517	0.03457454	0.02959370	0.02477573	0.04110655	0.03930730	0.02741788	0.04562670	0.04147885	0.04139783	0.04486030	0.01643442	0.04538123	0.03911924	0.04844662	0.02798525	0.02015546	0.03814003	0.03696216	0.05062610	0.04826723	0.03032689
22440	0.03821843	0.02232500	0.02592096	0.02748492	0.03134568	0.04722483	0.03698268	0.03865071	0.03472465	0.02867548	0.03688434	0.03968131	0.01898047	0.05779489	0.03659701	0.03951604	0.04531859	0.02289803	0.03235911	0.04115539	0.05660120	0.02372379	0.02653250	0.03794811	0.04341916	0.03505277	0.04228938	0.03169456
22460	0.04694310	0.02144194	0.03262127	0.02827432	0.02733787	0.03928242	0.04815179	0.03574983	0.04322641	0.02546810	0.02635243	0.03831914	0.02211294	0.03943962	0.04143820	0.04025897	0.04813622	0.01827136	0.04368474	0.04298377	0.05181401	0.02595653	0.02106470	0.04065247	0.03349106	0.04309159	0.03952644	0.03490875
22480	0.04377629	0.02256149	0.02817796	0.03001350	0.02837800	0.03279868	0.03991196	0.03767718	0.03674507	0.02181173	0.03723129	0.03441780	0.02150282	0.03617823	0.03919299	0.04612952	0.05865073	0.01747663	0.04062920	0.04208691	0.04255050	0.02739791	0.02464292	0.04007695	0.04724111	0.03221656	0.05381907	0.03670701
22500	0.03658820	0.01520892	0.02855478	0.02511693	0.03022051	0.05257689	0.04926109	0.04201032	0.03958234	0.02495104	0.03959195	0.03869092	0.02188470	0.05114234	0.03521572	0.03946037	0.03299884	0.02119829	0.04450341	0.03853821	0.04982362	0.03594253	0.02487065	0.03801804	0.04160342	0.02913038	0.03820783	0.03510777
22520	0.04038556	0.02011481	0.02736563	0.02522697	0.03470767	0.03946977	0.04018929	0.04159021	0.03461879	0.02681304	0.03487735	0.04800392	0.02408259	0.03133204	0.04158645	0.05537868	0.04567563	0.01525760	0.03636664	0.04731461	0.04146460	0.02776389	0.01882832	0.03876218	0.05249810	0.04008513	0.03994684	0.03029368
22540	0.04809010	0.01947515	0.03520892	0.02335532	0.03646094	0.02225018	0.05006789	0.04210873	0.04334560	0.02397056	0.03711785	0.03668425	0.01297765	0.04774010	0.04560180	0.03925323	0.03297051	0.02142149	0.03972163	0.04089553	0.04457830	0.02218740	0.01921649	0.04089566	0.04385090	0.04124916	0.05506684	0.03423783
22560	0.04575516	0.02128350	0.02532164	0.02901998	0.03497902	0.03743300	0.04479418	0.03112615	0.03397683	0.02336071	0.04166350	0.03906584	0.01947498	0.02808652	0.03314230	0.04540018	0.05081443	0.01439570	0.04458395	0.04445250	0.04750359	0.03192941	0.02666409	0.04471462	0.03271197	0.04396550	0.04700191	0.03737884
22580	0.04033989	0.02617635	0.02407405	0.02242907	0.02247687	0.03550586	0.04132242	0.03661643	0.04292684	0.01814467	0.03837639	0.04152294	0.01688936	0.06092010	0.03761077	0.03782544	0.05000190	0.01341998	0.04385697	0.04027168	0.04487252	0.02623206	0.02399703	0.04130345	0.04204043	0.04162930	0.04858341	0.04063382
22600	0.03950034	0.02603381	0.02291101	0.02566675	0.03343979	0.03096469	0.04641161	0.03526298	0.03765792	0.02847601	0.04039404	0.04247550	0.02577636	0.03201461	0.04746899	0.04178565	0.04368025	0.00903447	0.04220347	0.04480079	0.05036962	0.02860238	0.02249286	0.03721084	0.04097413	0.03559199	0.04644313	0.04235599
22620	0.04351987	0.02407976	0.02510102	0.01725213	0.03416870	0.04334445	0.03664655	0.03946185	0.03871507	0.02664882	0.02504408	0.04409783	0.02779161	0.04935994	0.04131717	0.03403960	0.04646626	0.01567010	0.04498694	0.03682055	0.04904472	0.02308514	0.02409572	0.04014782	0.04410185	0.03526884	0.05053889	0.03918472
22640	0.04239276	0.02302381	0.02797985	0.02804582	0.03584915	0.03258538	0.02703575	0.04068581	0.03963355	0.02318140	0.05072402	0.03840880	0.03044403	0.04152154	0.03866004	0.04297101	0.05302346	0.01468358	0.04196592	0.03085682	0.03762513	0.02367140	0.02434172	0.04198673	0.03739570	0.03746171	0.05448928	0.03935586
22660	0.04131564	0.02438234	0.02889863	0.02779876	0.03121359	0.04608404	0.03921468	0.03685884	0.03492889	0.02998639	0.03849902	0.03485561	0.02720405	0.04892418	0.03716958	0.02861298	0.03925145	0.01861413	0.04191553	0.04086728	0.04528442	0.02472995	0.02370796	0.03726931	0.05290470	0.03370487	0.04985822	0.03594495
22680	0.04347392	0.01584900	0.01733279	0.02726685	0.03646137	0.03079130	0.03801081	0.03794362	0.03758633	0.02291338	0.03914434	0.03045667	0.02242360	0.04689454	0.04712600	0.03594799	0.05589693	0.02162884	0.03472770	0.04145285	0.05691355	0.02596960	0.02396950	0.04147960	0.02732804	0.05201577	0.05205241	0.03694271
22700	0.04175568	0.02168108	0.02443624	0.03477261	0.03563055	0.03019510	0.04814754	0.05091140	0.03869787	0.02939074	0.04065216	0.03890936	0.01945128	0.05394146	0.03901330	0.02605114	0.04078831	0.01991527	0.03280672	0.04496052	0.03598114	0.02659212	0.02276154	0.04420371	0.03173916	0.03608236	0.05302064	0.03751100
22720	0.03988591	0.02259145	0.02301750	0.03105457	0.02721870	0.03453034	0.03569133	0.05002566	0.03734709	0.02477586	0.03485008	0.04201751	0.01896214	0.04342227	0.03902249	0.04105836	0.04379407	0.01817747	0.03822620	0.05312879	0.05254026	0.02715669	0.02059209	0.04406782	0.04336008	0.03024123	0.04710073	0.03614331
22740	0.05310857	0.02513350	0.03179437	0.03383552	0.02487381	0.04228402	0.04513473	0.03864667	0.04061641	0.02283751	0.03104377	0.04366582	0.02058819	0.03900552	0.03882873	0.04415161	0.03824058	0.01223251	0.03400496	0.03663328	0.03827167	0.02497383	0.02269671	0.04025315	0.04389824	0.04620171	0.04897466	0.03806993
22760	0.05020814	0.02597994	0.03036885	0.02556972	0.03195815	0.02586026	0.04184505	0.03838958	0.03847934	0.02791341	0.05438567	0.04020096	0.02137138	0.03627719	0.03787034	0.04962459	0.02922456	0.01512789	0.03154994	0.04396392	0.05246133	0.03145905	0.02129655	0.03855585	0.04238750	0.03683323	0.04223017	0.03860743
22780	0.04540748	0.01706928	0.03208531	0.02118652	0.03324000	0.04287728	0.03726234	0.03557772	0.03046657	0.02371567	0.05247965	0.03290047	0.02806966	0.04858968	0.04824046	0.03811623	0.03442093	0.02921944	0.03442757	0.03227136	0.05120087	0.02198790	0.02135309	0.05574719	0.05251364	0.02886366	0.03758809	0.03312193
22800	0.03341293	0.01818619	0.02759221	0.02702627	0.02866505	0.04609958	0.04679011	0.04066285	0.04175954	0.02401961	0.03144104	0.04040845	0.02104990	0.04293646	0.03152060	0.04172373	0.05182604	0.01668207	0.04895018	0.03985133	0.03311225	0.03140524	0.02229827	0.04535792	0.05014279	0.02746345	0.05054106	0.03907487
22820	0.04161079	0.01767922	0.02367598	0.03102403	0.03048221	0.03635927	0.03254938	0.04388231	0.04094144	0.02404301	0.04102304	0.04353854	0.02072636	0.04049477	0.04818209	0.03220352	0.03940700	0.01471966	0.04121683	0.04694956	0.04286940	0.03091856	0.02696565	0.04370434	0.03655544	0.03982443	0.04369116	0.04476198
22840	0.03966979	0.02225151	0.02376063	0.02977220	0.03713341	0.04393660	0.03992596	0.05789869	0.03565949	0.02916553	0.02975446	0.03634934	0.02008979	0.04351128	0.03929170	0.03940257	0.04834468	0.01528223	0.03150406	0.03471438	0.04671870	0.02798238	0.02537014	0.04334203	0.04918766	0.03539036	0.04359224	0.03099819
22860	0.04900972	0.01726404	0.03737354	0.02088944	0.03412439	0.03212908	0.03821562	0.03943075	0.03439225	0.02489044	0.04292848	0.04195086	0.02220171	0.05090842	0.04204460	0.03368540	0.04675923	0.02298275	0.03526644	0.04426850	0.03757755	0.02744964	0.01860615	0.04104609	0.04355068	0.04391221	0.04189466	0.03524739
22880	0.03887218	0.01642729	0.02422485	0.03083727	0.03980645	0.03291557	0.04685935	0.03632940	0.04566322	0.02444588	0.03433849	0.03372378	0.02341555	0.03729685	0.03776835	0.05619796	0.03449782	0.02195432	0.05080258	0.03656145	0.05726642	0.02642506	0.02056680	0.04451847	0.02957589	0.03579702	0.04575849	0.03715322
22900	0.04032390	0.02323759	0.02003908	0.02576244	0.03004373	0.03374795	0.04147122	0.03852646	0.04062872	0.02903535	0.03247102	0.03468355	0.02049769	0.04736677	0.04458193	0.04365229	0.03992547	0.01940101	0.04816392	0.03176917	0.04110275	0.02826673	0.02738798	0.04144021	0.04410956	0.04607310	0.05001601	0.03627441
22920	0.04617366	0.01902798	0.02987803	0.01815157	0.03262143	0.03745736	0.03890109	0.04764264	0.04215183	0.01962434	0.04625422	0.04171567	0.02193386	0.04768592	0.03977634	0.04859518	0.04236805	0.02155424	0.03772740	0.03330075	0.04411637	0.02461401	0.02179292	0.03844616	0.03993346	0.03728262	0.04303435	0.03823855
22940	0.05060511	0.02148750	0.02562800	0.02744059	0.03185202	0.04194046	0.04388079	0.04134846	0.04216274	0.02264638	0.03000813	0.04075728	0.02066728	0.04440178	0.03950343	0.04188788	0.04160149	0.01630717	0.04193770	0.05064230	0.04117323	0.02684266	0.01691717	0.03468786	0.03535880	0.03583727	0.05941980	0.03305668
22960	0.04383610	0.02124680	0.03148936	0.03053428	0.03568906	0.02507248	0.04183466	0.03930010	0.04364599	0.02009286	0.04429998	0.04238953	0.02494492	0.04110838	0.03772467	0.03900263	0.05273427	0.02474493	0.04902935	0.04185463	0.03803180	0.02578221	0.01691123	0.03361544	0.02860802	0.04097548	0.04775602	0.03774481
