## trace file of population Pi values from gsi_sim.  NumBurnIn= 50000  NumSweeps= 20000 ThinningInterval= 20
SweepNumber	KANDR03	KANVI07	KAROL05	KBIGCK04	KBIGS07	KEEK05	KGAGA06	KGEOR05	KGISA01	KGOLS06	KGONF06	KHENS01	KIOW10	KKANE05	KKANT05	KKISA05	KKLUTU09	KKOGR05	KKOGR07	KKOKT10	KNECO07	KNORTH10	KPILG0506	KSALC05	KSALM06	KSTUY09	KTOGRT09	KTUBU09
300	0.03490444	0.02243995	0.02878694	0.02936691	0.03190611	0.02894934	0.03777860	0.04922492	0.03459747	0.02853557	0.03079928	0.04570573	0.02283696	0.02545244	0.04189278	0.03754025	0.04885294	0.01765442	0.04622323	0.04444546	0.04741286	0.02478138	0.02552685	0.04277299	0.04522554	0.03681146	0.05165873	0.03791645
320	0.03836687	0.02637152	0.02046696	0.02927725	0.03097210	0.03278927	0.04022407	0.05065425	0.03945150	0.02855178	0.03738267	0.03718011	0.01714552	0.04385374	0.04194070	0.04883800	0.04272198	0.01772529	0.04677024	0.04205994	0.04271670	0.02559913	0.02565054	0.04874113	0.02974628	0.03248296	0.04636577	0.03595374
340	0.04676281	0.01812728	0.02660399	0.03828544	0.03345365	0.04190456	0.04162864	0.03795364	0.03712524	0.02277153	0.03873106	0.04224361	0.01572295	0.06079920	0.03999889	0.03522137	0.04055575	0.02241992	0.03882825	0.03482984	0.04943963	0.02392434	0.01739273	0.03815897	0.04018838	0.03163205	0.05109816	0.03419812
360	0.04113813	0.02711160	0.03172456	0.02611566	0.03180396	0.03332126	0.04516353	0.03641711	0.04082019	0.02758847	0.03338278	0.04302322	0.02142856	0.04806886	0.03502603	0.03311877	0.04218870	0.02168957	0.04790128	0.04430149	0.04383778	0.02805571	0.01901488	0.04053325	0.04051825	0.03585193	0.04990292	0.03095156
380	0.04941119	0.02136378	0.02684798	0.02534540	0.03074000	0.03747073	0.03654304	0.04543023	0.03651144	0.03073727	0.03649239	0.03973498	0.02357990	0.03699016	0.03645684	0.03333593	0.04467910	0.01949328	0.03561131	0.05287684	0.04420158	0.02989165	0.01998846	0.03928261	0.03884014	0.03644335	0.05685522	0.03484519
400	0.04331099	0.01997841	0.02713623	0.02720485	0.03353045	0.05073492	0.04042854	0.04159651	0.03520611	0.02922753	0.03607538	0.03891039	0.02500092	0.04977233	0.04051336	0.04057842	0.04232037	0.01637422	0.03631924	0.04531349	0.03775327	0.02601178	0.02779782	0.03722237	0.03447388	0.03999650	0.04603676	0.03117494
420	0.04234815	0.02704092	0.03997950	0.02753023	0.02768935	0.03192090	0.04221460	0.04665602	0.05185615	0.02662265	0.03801634	0.03620364	0.01379348	0.03162178	0.03913853	0.03397956	0.03203239	0.02294200	0.03866322	0.05167247	0.04232913	0.02973133	0.01878065	0.04477956	0.03238994	0.04658873	0.04267549	0.04080328
440	0.05982239	0.01673887	0.02451665	0.01824418	0.03942424	0.04893448	0.03810392	0.02965898	0.02791589	0.02704770	0.03967402	0.03666758	0.01574068	0.03380189	0.03691621	0.05081089	0.03790664	0.02446966	0.04398635	0.05446253	0.04868582	0.02811686	0.02607497	0.04267601	0.03370328	0.03247303	0.05168904	0.03173720
460	0.04448998	0.02114567	0.02511415	0.02720940	0.02988401	0.03515447	0.03591260	0.04048380	0.03890360	0.02709374	0.04493554	0.03633181	0.02097932	0.04918824	0.03868949	0.03847512	0.05030568	0.01568964	0.03499621	0.03841190	0.05122842	0.02549467	0.02220274	0.04153011	0.04275472	0.04844384	0.04092899	0.03402213
480	0.04069513	0.02322333	0.02504585	0.02325328	0.03713638	0.04090351	0.04580230	0.03659562	0.04068044	0.02290089	0.04633852	0.03994633	0.02204517	0.04163325	0.04228058	0.03846338	0.04859221	0.02082319	0.03183107	0.04019930	0.04812573	0.02522030	0.01949413	0.03473385	0.03635937	0.04195233	0.04978679	0.03593778
500	0.04493755	0.02420158	0.02805411	0.02770816	0.04018298	0.02995713	0.04255587	0.03705597	0.03700027	0.02358309	0.03673511	0.03359970	0.03330574	0.03874985	0.04097998	0.04916331	0.02828834	0.02010382	0.04597544	0.04718948	0.05100893	0.02034336	0.01934813	0.03840890	0.03658706	0.05912594	0.03730164	0.02854854
520	0.05270549	0.01511387	0.01516559	0.02775830	0.03216199	0.04244518	0.05097784	0.03288330	0.04056877	0.02237479	0.03361926	0.03382142	0.02229154	0.03937537	0.04087803	0.03892937	0.04208143	0.02494600	0.04538750	0.04402597	0.04735129	0.02116519	0.01923673	0.04267624	0.03841831	0.04280763	0.05255902	0.03827457
