## trace file of reporting unit Pi values from gsi_sim.  NumBurnIn= 50000  NumSweeps= 20000 ThinningInterval= 20
SweepNumber	Norton	Upper_Yukon	Middle_Yukon	Lower_Yukon	Bristol_Bay_Kusk
1900	0.11632376	0.02436841	0.13712416	0.09266651	0.62951716
1920	0.11127259	0.02788618	0.11913868	0.10778552	0.63391703
1940	0.11046601	0.03171347	0.11897246	0.10853456	0.63031350
1960	0.10928910	0.03171509	0.11124836	0.10780139	0.63994606
1980	0.11396543	0.03325006	0.11001298	0.09977425	0.64299728
2000	0.10951157	0.02953632	0.10679081	0.10387818	0.65028312
2020	0.10838088	0.03300191	0.11469218	0.10559064	0.63833439
2040	0.10800557	0.03276495	0.12865980	0.10689065	0.62367904
2060	0.11298435	0.03311377	0.12304013	0.10116493	0.62969682
2080	0.09904602	0.03096216	0.11576311	0.10820653	0.64602218
2100	0.10896210	0.02633400	0.12464074	0.10658130	0.63348185
2120	0.10955357	0.02916017	0.11301517	0.11617647	0.63209462
2140	0.11114016	0.03415520	0.12554580	0.11451903	0.61463981
2160	0.11465291	0.03136722	0.12142172	0.10510525	0.62745291
2180	0.10724446	0.02933024	0.11156981	0.09653782	0.65531767
2200	0.10872825	0.03046809	0.13019256	0.10648328	0.62412782
2220	0.09677108	0.03582366	0.13628263	0.11061576	0.62050687
2240	0.10642945	0.02464452	0.11370683	0.11771802	0.63750119
2260	0.09952154	0.02979123	0.11046658	0.09880255	0.66141810
2280	0.10055754	0.03338711	0.12591159	0.09379443	0.64634933
2300	0.09970196	0.03505511	0.12733296	0.10447397	0.63343600
2320	0.10203728	0.03136479	0.11773685	0.10185534	0.64700573
2340	0.11173139	0.03571217	0.12293378	0.09902730	0.63059535
2360	0.11050287	0.03187236	0.11839018	0.10458067	0.63465392
2380	0.12313384	0.03015905	0.11529779	0.11785163	0.61355769
2400	0.12368895	0.04322000	0.12909409	0.09581132	0.60818564
2420	0.10625658	0.03475853	0.12126344	0.11212375	0.62559771
2440	0.10916596	0.03118115	0.11472520	0.09663835	0.64828934
2460	0.12202022	0.03627170	0.12499986	0.09946920	0.61723903
2480	0.09521812	0.02827076	0.13215955	0.09047199	0.65387959
2500	0.11252574	0.02882358	0.11175751	0.10172218	0.64517099
2520	0.09793274	0.03016838	0.11105492	0.11573459	0.64510937
2540	0.10453901	0.02825946	0.11670600	0.10635433	0.64414120
2560	0.10127824	0.03717489	0.11926863	0.10655499	0.63572325
2580	0.10703414	0.02930821	0.12336621	0.10736033	0.63293111
2600	0.10104971	0.03150535	0.11041619	0.10638871	0.65064004
2620	0.11202685	0.03305096	0.12481711	0.08883912	0.64126596
2640	0.10809383	0.03686002	0.11118495	0.11772647	0.62613473
2660	0.10881934	0.03733864	0.11699200	0.10016810	0.63668192
2680	0.10531819	0.03334775	0.11017475	0.09732488	0.65383443
2700	0.11480429	0.03059139	0.11881622	0.10502080	0.63076730
2720	0.10023252	0.03045717	0.11746949	0.09112309	0.66071774
2740	0.11265541	0.02773727	0.12679620	0.10718785	0.62562327
2760	0.10682315	0.02967213	0.11551053	0.10398869	0.64400549
2780	0.10907128	0.02844941	0.12274622	0.10736111	0.63237199
2800	0.10342957	0.03676025	0.11734639	0.10846479	0.63399901
2820	0.11700332	0.02952942	0.13204731	0.10012219	0.62129776
2840	0.11679409	0.02880333	0.12569891	0.09999992	0.62870375
2860	0.09555104	0.04011315	0.11971480	0.10764150	0.63697951
2880	0.11294821	0.02958801	0.12313945	0.10512148	0.62920285
2900	0.10491162	0.03496902	0.12501077	0.11292932	0.62217927
2920	0.12031607	0.03518716	0.11913444	0.10664341	0.61871892
2940	0.10746737	0.03848467	0.12748297	0.09493451	0.63163048
2960	0.11196763	0.03415553	0.11990130	0.10098231	0.63299322
2980	0.10590069	0.03085356	0.12901754	0.09882165	0.63540658
3000	0.11077607	0.03125646	0.12431524	0.09472316	0.63892905
3020	0.09918785	0.03432137	0.11253017	0.10981027	0.64415035
3040	0.10605329	0.03269856	0.12471121	0.10767174	0.62886520
3060	0.10845688	0.03021638	0.11935109	0.11532109	0.62665456
3080	0.10878282	0.02912921	0.11372434	0.10727161	0.64109202
3100	0.10163260	0.02845356	0.12202449	0.10515342	0.64273593
3120	0.11377019	0.03128252	0.11794827	0.09899903	0.63800000
3140	0.10962174	0.03285339	0.12297645	0.09728750	0.63726092
3160	0.10589643	0.03359933	0.10995380	0.09550933	0.65504111
3180	0.11103656	0.03312567	0.12859349	0.10966835	0.61757593
3200	0.10500153	0.03573753	0.11644504	0.10246120	0.64035470
3220	0.10764425	0.04194181	0.11638849	0.11307431	0.62095114
3240	0.10113262	0.02690757	0.12442300	0.11391125	0.63362555
3260	0.09459886	0.03714531	0.12266478	0.10487188	0.64071916
3280	0.10242269	0.03524577	0.11167138	0.10028210	0.65037807
3300	0.12306564	0.03026843	0.11946250	0.11041602	0.61678740
3320	0.10995580	0.02737405	0.11927521	0.09747834	0.64591660
3340	0.10846070	0.04093475	0.11553786	0.10679097	0.62827572
3360	0.11034695	0.03265148	0.11233557	0.11457746	0.63008854
3380	0.10854155	0.02975326	0.11248189	0.08983598	0.65938732
3400	0.12036473	0.03121484	0.12343262	0.10881382	0.61617399
3420	0.10777143	0.02891776	0.11586277	0.10841454	0.63903350
3440	0.10193681	0.03101303	0.11434208	0.10736397	0.64534410
3460	0.11598304	0.03257439	0.11422815	0.11516488	0.62204955
3480	0.11109306	0.03093821	0.11351810	0.11260549	0.63184514
3500	0.11842494	0.02726864	0.11834329	0.09749034	0.63847279
3520	0.12092765	0.03295514	0.11024115	0.10521559	0.63066047
3540	0.10922121	0.03010524	0.12198333	0.10038309	0.63830713
3560	0.10854352	0.03239633	0.12709191	0.11015023	0.62181801
3580	0.10341881	0.02844670	0.10729917	0.12044726	0.64038807
3600	0.12160101	0.02929435	0.11301412	0.10649008	0.62960044
3620	0.12196398	0.02633860	0.12228751	0.10172026	0.62768965
3640	0.11134187	0.03222666	0.10552383	0.11922798	0.63167966
3660	0.10327216	0.03218152	0.11725531	0.10866190	0.63862911
3680	0.11081970	0.02821797	0.13397090	0.09675241	0.63023901
3700	0.10895876	0.03593496	0.12468526	0.09950548	0.63091553
3720	0.10200167	0.03932656	0.12273915	0.10284589	0.63308672
3740	0.10573534	0.03612645	0.10905665	0.10261081	0.64647075
3760	0.11906231	0.03030139	0.11290533	0.08600578	0.65172518
3780	0.11172831	0.03238787	0.12072767	0.10429291	0.63086323
3800	0.11254913	0.03368881	0.11948932	0.11641986	0.61785288
3820	0.12458109	0.03278187	0.11927720	0.09987650	0.62348334
3840	0.09883689	0.02810659	0.11711615	0.10929913	0.64664124
3860	0.10570646	0.03119720	0.12479430	0.11366162	0.62464042
3880	0.12757236	0.02936580	0.11572659	0.10629506	0.62104019
3900	0.10407825	0.03070549	0.12998881	0.11603123	0.61919623
3920	0.12395262	0.03367852	0.11555133	0.10568050	0.62113702
3940	0.12505876	0.03633695	0.12016826	0.10231261	0.61612342
3960	0.11716881	0.03292980	0.10533069	0.11841453	0.62615617
3980	0.11201714	0.03445896	0.12527567	0.10265085	0.62559737
4000	0.11057352	0.03309793	0.11983564	0.09231568	0.64417723
4020	0.09614429	0.03070699	0.11400074	0.11633697	0.64281101
4040	0.11332638	0.03477006	0.11233507	0.10908458	0.63048392
4060	0.11578343	0.03168971	0.12851950	0.10039802	0.62360934
4080	0.11838462	0.02731524	0.11511462	0.09966899	0.63951653
4100	0.10564971	0.03346985	0.13150549	0.10668420	0.62269075
